FID,osm_id,building,name,amenity,addr_house,layer,shop,operator,tourism,power,office,ref,brand,building_l,name_zh,min_level,website,name_en,wikipedia,architect_,wikidata,architect,air_condit,start_date,addr_stree,height,community_,wikimedia_,name_pt,alt_name_e,name_yue,name_ko,wikipedia_,name_th,alt_name,name_ru,name_vi,is_in_prov,is_in_coun,is_in_city,name_de,building_m,check_date,name_ja,short_name,addr_provi,is_in_co_1,name_uk,is_in_pr_1,building_c,addr_city,name_ja_ka,is_in_iso_,name_zh_pi,addr_count,descriptio,payment_no,addr_distr,operator_t,name_zh_Ha,wheelchair,name_zh__1,opening_ho,internet_a,level,addr_postc,phone,building_1,substation,building_p,government,min_levels,brand_wiki,brand_wi_1,building_r,x,y
16,334125148.000000000000000,hotel, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321819396000000,23.119014540900000
17,503962045.000000000000000,office,凯华国际中心, , , , , , , , , , ,53,凯华国际中心, , ,Central Tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321832162000010,23.119713554600001
18,1069604896.000000000000000,commercial,环球都会广场, , , , , , , , , , ,67,环球都会广场, , ,International Metropolitan Plaza, , , , , , , ,318, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321799900000000,23.120647634000001
19,513786152.000000000000000,commercial,富力盈凯广场, , , , , , , , , , , , , , , ,en:R&F Yingkai Square, ,Q17637389, , , , ,296.5, ,Category:R&F Yingkai Square, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316365941000000,23.121180425700000
20,312888407.000000000000000,retail,广州友谊商店(国金店), , , ,mall, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317338305000010,23.120817414400001
21,684901406.000000000000000,roof, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316604488000000,23.122480861400000
22,299812754.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316431794000000,23.122959394500000
23,299812757.000000000000000,commercial,高德置地广场（春）, , ,-1,mall, , , , , , ,5,高德置地广场（春）, ,http://www.gtlandplaza.com/,GT Land Plaza(Spring Plaza), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,113.316864760000000,23.122876590499999
24,299812755.000000000000000,commercial,高德置地广场B座, , , , , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , ,113.317208294000000,23.122601770399999
25,586026852.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317998856000000,23.122808837400001
26,299687659.000000000000000,commercial,高德置地广场（夏）, , , , , , , , , , , ,高德置地广场（夏）, ,http://www.gtlandplaza.com/,GT Land Plaza(Summer Plaza), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318012178999990,23.123138010200002
27,586026851.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317911022000000,23.123473722300002
28,312888483.000000000000000,office, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316574461000000,23.124053836400002
29,312888482.000000000000000,yes,广东全球通大厦, , , , , , , ,yes, , , ,广东全球通大厦, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316756344000000,23.124077513500001
30,543830125.000000000000000,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317943439999990,23.124441486700000
31,299812753.000000000000000,hotel,富力君悦大酒店, , , , , ,hotel, , , ,Grand Hyatt, ,富力君悦大酒店, ,https://guangzhou.grand.hyatt.com/zh-Hans/hotel/home.html,Grand Hyatt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Q1425063, , ,113.318048077000000,23.124804409500001
32,507573201.000000000000000,commercial, , , , , , , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316479067000000,23.125569669800001
33,507573202.000000000000000,commercial, , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317236097000010,23.125314535000001
34,543830124.000000000000000,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318048402000000,23.125177373400000
35,511404888.000000000000000,commercial, , , ,2, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320933135999990,23.120878416400000
36,589994628.000000000000000,yes, , , , , , , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , ,113.321092724000000,23.122767262000000
37,299812758.000000000000000,commercial,高德置地广场（秋）, , , , , , , , , , , ,高德置地广场（秋）, ,http://www.gtlandplaza.com/,GT Land Plaza(Autumn Plaza), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320356825000000,23.122862190399999
38,589994630.000000000000000,yes, , , , , , , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , ,113.321901583000000,23.122128577200002
39,589994627.000000000000000,commercial,高德置地冬广场, , , ,mall, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321591130000000,23.122682065300001
40,334124301.000000000000000,yes,高德置地广场（冬）, , , ,mall, , , , , , , ,高德置地广场（冬）, ,http://www.gtlandplaza.com/,GT Land Plaza (Winter Plaza), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321591130000000,23.122682065300001
41,589994629.000000000000000,yes, , , , , , , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , ,113.321923592000000,23.123163698999999
42,942039767.000000000000000,retail,花城汇中区, , ,-1,mall, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,113.319189705000000,23.123878942800001
