FID,osm_id,layer,name,tunnel,oneway,railway,highway,access,bicycle,horse,foot,junction,covered,service,constructi,maxspeed,frequency,electrifie,name_en,gauge,voltage,name_zh,proposed,start_date,conveying,handrail,incline,level,lanes,motor_vehi,maxheight,ramp_bicyc,monorail,wikipedia,wikidata,construc_1
73,617630968.000000000000000,-3, ,yes, ,subway, , , , , , , ,crossover, ,60,50,rail, ,2642,600, , , , , , , , , , , ,rubber_tyres, , , 
74,248407681.000000000000000,-1, ,yes,yes, ,secondary_link, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75,228124193.000000000000000,-1,金穗路隧道,yes,yes, ,secondary, , , , , , , , , , , ,Jinsuilu Tunnel, , ,金穗路隧道, , , , , , , , , , , , , , 
76,228124191.000000000000000,-1,金穗路隧道,yes,yes, ,secondary, , , , , , , , , , , ,Jinsuilu Tunnel, , ,金穗路隧道, , , , , , , , , , , , , , 
77,832161621.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
78,991426145.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
79,991426149.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
80,832161622.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
81,832161617.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
82,832161618.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
83,831745747.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
84,832172379.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
85,1006819805.000000000000000,-1,珠江新城 8 号隧道,yes, , ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,1006819819.000000000000000,-1, ,yes, , ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87,899194114.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , ,-3, , , , , , , , 
88,899194115.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , ,-3, , , , , , , , 
89,677387419.000000000000000,-1, ,yes, , ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90,1156429258.000000000000000,-1,黄埔大道西,yes,yes, ,trunk, ,no,no,no, , , , , , , ,Huangpu Avenue West, , ,黄埔大道西, , , , , , , , , , , , , , 
91,228123842.000000000000000,-1, ,yes,yes, ,secondary, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92,991426146.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
93,991426143.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
94,832161620.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
95,832161619.000000000000000,-2, ,yes, ,subway, , , , , , , ,yard, ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
96,988871489.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
97,988871488.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
98,991426142.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
99,991426147.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
100,987904834.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
101,987904833.000000000000000,-2,广州地铁18号线,yes, ,subway, , , , , , , , , ,160,50,contact_line, ,1435,25000, , , , , , , , , , , , , , , 
102,988871490.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103,932548280.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104,932548278.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , , , ,up, , , , , , , , , 
105,312565419.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106,932548277.000000000000000,-1, ,yes, , ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107,932548281.000000000000000, , ,yes, , ,steps, , , , , , , , , , , , , , , , , , , ,up, , , , , , , , , 
108,988871491.000000000000000,-1, ,yes, , ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109,521701939.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
110,724737480.000000000000000,-3,广州地铁3号线北延线,yes, ,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3 North Extension,1435,1500,广州地铁3号线北延线, , , , , , , , , , , , , , 
111,724737478.000000000000000,-3,广州地铁3号线,yes,yes,subway, , , , , , , , , ,120,0,contact_line,Guangzhou Metro Line 3,1435,1500,广州地铁3号线, , , , , , , , , , , , , , 
112,40016208.000000000000000,-1,黄埔大道隧道,yes,yes, ,trunk, , , , , , , , , , , ,Huangpu Avenue Tunnel, , ,黄埔大道隧道, , , , , , , , , , , , , , 
113,40016195.000000000000000,-1,黄埔大道隧道,yes,yes, ,trunk, , , , , , , , , , , ,Huangpu Avenue Tunnel, , ,黄埔大道隧道, , , , , , , , , , , , , , 
114,404553829.000000000000000,-3,广州地铁13号线,yes, ,construction, , , , , , , , , , , ,contact_line,Guangzhou Metro Line 13,1435,1500,广州地铁13号线, , , , , , , , , , , ,zh:广州地铁13号线,Q6553065, 
115,601329380.000000000000000,-3,广州地铁13号线,yes, ,construction, , , , , , , , , , , ,contact_line,Guangzhou Metro Line 13,1435,1500,广州地铁13号线, , , , , , , , , , , ,zh:广州地铁13号线,Q6553065, 
116,832161623.000000000000000,3,广州地铁18号线,yes, ,construction, , , , , , , , ,subway, ,50,contact_line, ,1435,25000, , , , , , , , , , , , , , ,subway
