FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
257,445014537.000000000000000, ,trunk, ,yes, , ,黄埔大道西, , , , , , , , , ,Huangpu Avenue West,黄埔大道西, , , , , , , , , , , , , , , , , ,113.316405700000000,113.316899600000000,23.130089300000002,23.130068600000001
258,519196116.000000000000000, ,trunk, ,yes, , ,黄埔大道西, , , , , , , , , ,Huangpu Avenue West,黄埔大道西, , , , , , , , , , , , , , , , , ,113.316899600000000,113.318393200000000,23.130068600000001,23.129983800000002
259,299795157.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318784300000000,113.318854100000000,23.126816399999999,23.126834899999999
260,299795158.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.318854100000000,113.318956300000000,23.126834899999999,23.126862899999999
261,299795182.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318956300000000,113.319035200000000,23.126862899999999,23.126879400000000
262,299795169.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319035200000000,113.319120500000000,23.126879400000000,23.126904900000000
263,228123842.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318332700000000,113.320077000000000,23.126508000000001,23.126438600000000
264,299795148.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319569599999990,113.319353100000000,23.126631000000000,23.126648200000002
265,299795163.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319678600000000,113.319569599999990,23.126622300000001,23.126631000000000
266,299795178.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319759700000010,113.319678600000000,23.126615800000000,23.126622300000001
267,228123845.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318696300000000,113.318332700000000,23.128114000000000,23.126508000000001
268,299795149.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319089100000000,113.318981699999990,23.127464000000000,23.127548500000000
269,299795165.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319180100000000,113.319089100000000,23.127392499999999,23.127464000000000
