FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
59,248407683.000000000000000, ,service, , , , ,兴安路, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321705700000000,113.322393899999990,23.118155900000001,23.118091100000001
60,503962040.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321409600000000,113.321406700000000,23.118215100000000,23.119434099999999
61,496397368.000000000000000, ,service, , , , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322392900000000,113.321413199999990,23.118672400000001,23.118678800000001
62,503962043.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.322202899999990,113.322292300000000,23.118114400000000,23.119419199999999
63,519199419.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù,right, , , , , , , , , , , , , ,113.322449900000000,113.322355500000000,23.120844300000002,23.116706799999999
64,559485933.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.322239700000000,113.322265800000000,23.119188600000001,23.119128799999999
65,559485929.000000000000000,1,steps, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.322242300000000,113.322239700000000,23.119348400000000,23.119188600000001
66,503962039.000000000000000, ,service, , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , ,113.321406700000000,113.322128199999990,23.119434099999999,23.119417299999999
67,503962046.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322128199999990,113.322420300000000,23.119417299999999,23.119420699999999
68,511404890.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321406700000000,113.321409200000010,23.119434099999999,23.121386500000000
69,585705496.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322440099999990,113.321421300000000,23.120269900000000,23.120246399999999
70,513786154.000000000000000, ,service, , , , , , ,alley, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.315871300000000,113.316929500000000,23.120769500000002,23.120759899999999
71,526242005.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315884400000000,113.315888700000000,23.121387100000000,23.121910000000000
72,1007205129.000000000000000, ,footway, , , , , , , , , , , , , , , , ,marked,crossing, , , , , , , , , , , , , , , ,113.315890499999990,113.316036800000010,23.121724799999999,23.121690999999998
73,995559500.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316094900000000,113.316260799999990,23.121383200000000,23.121452999999999
74,995559501.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , ,yes,up,-1;0, , , , , , , , , ,113.316260799999990,113.316384799999990,23.121452999999999,23.121453899999999
75,248407674.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , ,right, , , , , , , , , , , , , ,113.315884400000000,113.316373100000010,23.121387100000000,23.121895599999998
76,995559495.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , ,113.315808600000000,113.316096900000010,23.121975599999999,23.121718000000001
77,995559512.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315888700000000,113.315893100000000,23.121910000000000,23.122091099999999
78,995559511.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , ,3,Huacheng Avenue,花城大道, , , , , , , , , , , , , , , , , ,113.315888700000000,113.316373100000010,23.121910000000000,23.121895599999998
79,248407677.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , , ,Huacheng Avenue,花城大道, , , , , , , , , , , , , , , , , ,113.317549700000000,113.315893100000000,23.121916700000000,23.122091099999999
80,444126144.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316373100000010,113.317550100000010,23.121895599999998,23.121703700000001
81,526242006.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , ,3,Huacheng Avenue,花城大道, , , , , , , , , , , , , , , , , ,113.316373100000010,113.317546100000000,23.121895599999998,23.121798399999999
82,444126145.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317411500000010,113.316353600000000,23.122046000000001,23.122121000000000
83,717941982.000000000000000, ,service, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318121700000010,113.318334900000000,23.121247900000000,23.120593499999998
84,995559518.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317393000000000,113.317404200000000,23.121564700000000,23.121715999999999
85,559485938.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.317677300000000,113.317393000000000,23.121545000000001,23.121564700000000
86,559485936.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.317680100000000,113.317677300000000,23.121599900000000,23.121545000000001
87,559470965.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.317194500000000,113.317228900000000,23.121489199999999,23.122436199999999
88,444126146.000000000000000, ,tertiary_link, ,yes,no,no, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317550100000010,113.317411500000010,23.121703700000001,23.122046000000001
89,503810994.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.317216900000010,113.317205100000000,23.122124800000002,23.121638999999998
90,299795207.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317550100000010,113.318077900000010,23.121703700000001,23.121370899999999
91,448790073.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù, , , , , , , , , , , , , , ,113.317668700000000,113.318077900000010,23.122555999999999,23.121370899999999
92,299862455.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.318281099999990,113.318538399999990,23.121799200000002,23.121781500000001
93,457886990.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315893100000000,113.315894300000000,23.122091099999999,23.122155599999999
94,995559519.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , ,113.315808600000000,113.316270000000000,23.121975599999999,23.122243000000001
95,719001085.000000000000000, ,footway, , , , , , , , , , , , , , , , ,marked,crossing, , , , , , , , , , , , , , , ,113.315895800000010,113.316089700000010,23.122231800000002,23.122267000000001
96,995559510.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315894300000000,113.315903199999990,23.122155599999999,23.122610300000002
97,448786344.000000000000000, ,secondary_link, ,yes,no,no, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316353600000000,113.315894300000000,23.122121000000000,23.122155599999999
98,248407676.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , ,right, , , , , , , , , , , , , ,113.316353600000000,113.315903199999990,23.122121000000000,23.122610300000002
99,448781892.000000000000000, ,service, ,yes, , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.315903199999990,113.316025200000000,23.122610300000002,23.122886900000001
100,1062033386.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316270000000000,113.316844600000000,23.122243000000001,23.122222099999998
101,995559520.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , ,113.316736600000000,113.316270000000000,23.122474100000002,23.122243000000001
102,995559517.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316942400000000,113.316938200000000,23.122139499999999,23.122079599999999
103,559485940.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.317216900000010,113.316942400000000,23.122124800000002,23.122139499999999
104,448781893.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315903199999990,113.315916500000000,23.122610300000002,23.123467900000001
105,448786345.000000000000000, ,service, ,yes, , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316025200000000,113.315916500000000,23.122886900000001,23.123467900000001
106,29142233.000000000000000, ,tertiary, , , , ,华成路, , , , , , , , , ,Huacheng Road,华成路, , , , , , , , , , , , , , , , , ,113.315916500000000,113.316650200000000,23.123467900000001,23.123415399999999
107,993462510.000000000000000, ,service, ,yes, , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316650200000000,113.316664700000000,23.123415399999999,23.123269400000002
108,688292104.000000000000000, ,service,building_passage,yes, , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316664700000000,113.317222700000000,23.123269400000002,23.123235099999999
109,559470935.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.317044999999990,113.317045800000000,23.123245199999999,23.123524400000001
110,693763679.000000000000000, ,tertiary, , , , ,华成路, , , , , , , , , ,Huacheng Road,华成路, , , , , , , , , , , , , , , , , ,113.316650200000000,113.317308500000000,23.123415399999999,23.123361200000002
111,248407678.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317668700000000,113.317411500000010,23.122555999999999,23.122046000000001
112,448790072.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù, , , , , , , , , , , , , , ,113.317572100000010,113.317668700000000,23.123116499999998,23.122555999999999
113,559470933.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.317365800000000,113.317770700000000,23.122973000000002,23.123109899999999
114,586026853.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317593900000010,113.317751400000010,23.123010000000001,23.123058100000002
115,688292105.000000000000000, ,service, ,yes, , , , ,driveway, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317222700000000,113.317308500000000,23.123235099999999,23.123361200000002
116,444418080.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317308500000000,113.317572100000010,23.123361200000002,23.123116499999998
117,717926454.000000000000000, ,footway, , , , , , , , , , , , , , , , ,marked,crossing, , , , , , , , , ,yes, , , , , ,113.317407399999990,113.317403400000000,23.123422800000000,23.123310700000001
118,693765746.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù, , , , , , , , , , , , , , ,113.317538099999990,113.317572100000010,23.123609500000001,23.123116499999998
119,586026854.000000000000000, ,footway, , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , ,113.317751400000010,113.318265800000010,23.123058100000002,23.123160500000001
120,586026855.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318265800000010,113.318354400000000,23.123160500000001,23.123189300000000
121,624720024.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315916500000000,113.315949800000000,23.123467900000001,23.124830599999999
122,29141189.000000000000000, ,tertiary, , , , ,华明路, , , , , , , , , ,Huaming Road,华明路, , , , , , , , , , , , , , , , , ,113.317224999999990,113.315949800000000,23.124736299999999,23.124830599999999
123,444418079.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317538099999990,113.317308500000000,23.123609500000001,23.123361200000002
124,299795174.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318437399999990,113.317534700000000,23.123887700000001,23.123771500000000
125,481045539.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù, , , , , , , , , , , , , , ,113.317654300000000,113.317538099999990,23.124991900000001,23.123609500000001
126,444418078.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317224999999990,113.317580000000010,23.124736299999999,23.124439599999999
127,624720025.000000000000000, ,secondary, ,yes, , ,华夏路, , , , , , , , , ,Huaxia Road,华夏路, , ,huá xià lù, , , , , , , , , , , , , , ,113.315949800000000,113.316037400000000,23.124830599999999,23.126067899999999
128,1006819816.000000000000000, ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316034100000000,113.315950500000000,23.125561300000001,23.125493700000000
129,1006819815.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316162400000000,113.316034100000000,23.125982600000000,23.125561300000001
130,771832532.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.315950500000000,113.316621500000000,23.125493700000000,23.126113199999999
131,1006819817.000000000000000, ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316162400000000,113.316620400000010,23.125982600000000,23.126058700000002
132,1006819814.000000000000000,-1,path,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316040500000000,113.316162400000000,23.126138999999998,23.125982600000000
133,457886989.000000000000000, ,secondary, ,yes,no,no,华夏路,no, , , , , , , , ,Huaxia Road,华夏路, , , , , , , , , , , , , , , , , ,113.316037400000000,113.316137600000000,23.126067899999999,23.126154100000001
134,771832529.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316137600000000,113.317704300000000,23.126154100000001,23.125297300000000
135,1006819818.000000000000000, ,path, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316620400000010,113.316621500000000,23.126058700000002,23.126113199999999
136,119029073.000000000000000, ,secondary, ,yes,no,no, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316137600000000,113.317855400000000,23.126154100000001,23.126107200000000
137,444418077.000000000000000, ,tertiary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317654300000000,113.317224999999990,23.124991900000001,23.124736299999999
138,248407675.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318156300000000,113.317654300000000,23.125976099999999,23.124991900000001
139,547062356.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.317222500000000,113.317200300000000,23.125988499999998,23.126063200000001
140,299862458.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317222500000000,113.317467900000000,23.125988499999998,23.125971799999999
141,299795179.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318183300000000,113.318394900000000,23.126107000000001,23.126134799999999
142,299795186.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318552500000000,113.318588199999990,23.121265500000000,23.121193600000002
143,299795189.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318782100000010,113.318487300000000,23.121665100000001,23.121191799999998
144,299795151.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318737700000000,113.318916800000000,23.121097200000001,23.121100800000001
145,554611948.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , ,down, , , , , , , , , , ,113.319167400000000,113.319171400000000,23.120663100000002,23.120994899999999
146,299795142.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319661700000000,113.319442700000000,23.121082900000001,23.121082900000001
147,299795194.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319785000000000,113.319766500000000,23.121340600000000,23.121174000000000
148,299795190.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319618100000000,113.319892700000000,23.121657700000000,23.121197200000001
149,554611945.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , ,yes, ,down, , , , , , , , , , ,113.319040700000000,113.319039300000000,23.121523000000000,23.121401100000000
150,554611941.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318820500000000,113.318538399999990,23.121756600000001,23.121781500000001
151,554611944.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , ,yes, ,down, , , , , , , , , , ,113.319330400000000,113.319330400000000,23.121520700000001,23.121400000000001
152,248407682.000000000000000,-1,primary,yes,yes,no,no,CBD隧道,no, , , , , , , ,3,CBD Tunnel,CBD隧道, , , , , , , , , , , , , , , , , ,113.317546100000000,113.320817500000000,23.121798399999999,23.121528099999999
153,554611940.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319690100000000,113.319968000000000,23.121519200000002,23.121626299999999
154,248407685.000000000000000,-1,primary,yes,yes,no,no,CBD隧道,no, , , , , , , ,3,CBD Tunnel,CBD隧道, , , , , , , , , , , , , , , , , ,113.320830200000000,113.317549700000000,23.121644799999999,23.121916700000000
155,444149844.000000000000000, ,secondary, ,yes, , ,珠江东路, , , , , , , , , ,Zhujiang East Road,珠江东路, , , , , , , , , , , , , , , , , ,113.320037799999990,113.320308800000010,23.120601799999999,23.121209300000000
156,440771222.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320308800000010,113.320799300000000,23.121209300000000,23.121439500000001
157,684906915.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.320691200000000,113.320784100000000,23.121362500000000,23.121133000000000
158,299795154.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , ,up, , , , , , , , , , ,113.321002100000000,113.320691200000000,23.121342899999998,23.121362500000000
159,1069604902.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,link, , , , , , , , , , , , , , , ,113.321002100000000,113.321011600000010,23.121342899999998,23.121421399999999
160,1157569925.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.321002100000000,113.321409800000000,23.121342899999998,23.121283500000001
161,299795168.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , ,down, , , , , , , , , , ,113.320198700000010,113.319968000000000,23.121594800000000,23.121626299999999
162,444232018.000000000000000, ,secondary, ,yes, , ,珠江东路, , , , , , , , , ,Zhujiang East Road,珠江东路, , , , , , , , , , , , , , , , , ,113.320308800000010,113.320565800000000,23.121209300000000,23.121884800000000
163,299795212.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.320695900000000,113.320691200000000,23.121753600000002,23.121362500000000
164,299795139.000000000000000, ,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.320695900000000,113.320691200000000,23.121753600000002,23.121362500000000
165,440771224.000000000000000, ,primary_link, ,yes,no,no, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320833900000000,113.320799300000000,23.121755700000001,23.121439500000001
166,299795171.000000000000000, ,steps, , , , , , , , , ,yes, , , , , , , , , , , , ,up, , , , , , , , , , ,113.321244500000010,113.320695900000000,23.121746300000002,23.121753600000002
167,440881631.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320833900000000,113.320565800000000,23.121755700000001,23.121884800000000
168,554611950.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , ,down, , , , , , , , , , ,113.319223100000000,113.319221700000000,23.122694500000001,23.122451900000002
169,299795198.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319975900000000,113.319059499999990,23.122674900000000,23.123244199999998
170,586026856.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319354399999990,113.319975900000000,23.123068300000000,23.122674900000000
171,559470962.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.320629500000000,113.320995200000000,23.122908100000000,23.122855399999999
172,1069604901.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.321545700000000,113.321409800000000,23.121263700000000,23.121283500000001
173,1069604900.000000000000000, ,footway,yes, ,dismount, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322146500000000,113.321545700000000,23.121138699999999,23.121263700000000
174,440881632.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320799300000000,113.322449500000000,23.121439500000001,23.121302000000000
175,1069604898.000000000000000, ,steps,yes, , , , , , , , , , , , , , , , , , , , ,yes,up, , , , , ,yes, , , , ,113.322146500000000,113.322341700000000,23.121138699999999,23.120848899999999
176,1069604899.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,link, , , , , , , , , , , , , , , ,113.322341700000000,113.322449900000000,23.120848899999999,23.120844300000002
177,440771233.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321993500000000,113.322449900000000,23.121338600000001,23.120844300000002
178,1069604916.000000000000000, ,secondary, ,yes,no,no,冼村路,no, , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù, , , , , , , , , , , , , , ,113.322449500000000,113.322449900000000,23.121302000000000,23.120844300000002
179,1069604903.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,link, , , , , , , , , , , , , , , ,113.321244500000010,113.321238699999990,23.121746300000002,23.121715399999999
180,519199421.000000000000000, ,primary, ,yes, , ,花城大道, , , , , , , , ,3,Huacheng Avenue,花城大道, , ,huā chéng dà dào, , , , , , , , , , , , , , ,113.322025700000000,113.320830200000000,23.121583699999999,23.121644799999999
181,440881630.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322025700000000,113.320833900000000,23.121583699999999,23.121755700000001
182,1157569926.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.321244500000010,113.321575000000000,23.121746300000002,23.121714900000001
183,248407684.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , ,3,Huacheng Avenue,花城大道, , ,huā chéng dà dào, , , , , , , , , , , , , , ,113.320817500000000,113.322449500000000,23.121528099999999,23.121302000000000
184,550008864.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , ,3,Huacheng Avenue,花城大道, , ,huā chéng dà dào, , , , , , , , , , , , , , ,113.322445400000010,113.322025700000000,23.121566800000000,23.121583699999999
185,1069604904.000000000000000, ,footway,yes, ,dismount, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322255400000000,113.321575000000000,23.121770099999999,23.121714900000001
186,624728714.000000000000000, ,secondary, ,yes,no,no,冼村路,no, , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù, , , , , , , , , , , , , , ,113.322445400000010,113.322449500000000,23.121566800000000,23.121302000000000
187,1069604895.000000000000000,-1,footway,yes, ,dismount, ,珠江新城16号隧道, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322844900000010,113.322146500000000,23.121741799999999,23.121138699999999
188,1069604914.000000000000000, ,primary, ,yes,no,no,花城大道,no, , , , , , , ,3,Huacheng Avenue,花城大道, , ,huā chéng dà dào, , , , , , , , , , , , , , ,113.322625800000000,113.322445400000010,23.121559500000000,23.121566800000000
189,440771226.000000000000000, ,primary_link, ,yes, , , , , , , , , , , , , , , , , ,right, , , , , , , , , ,no, , , ,113.322454300000000,113.322025700000000,23.122043099999999,23.121583699999999
190,1069604906.000000000000000, ,steps,yes, , , , , , , , , , , , , , , , , , , , ,yes,up, , , , , ,yes, , , , ,113.322255400000000,113.322423000000000,23.121770099999999,23.122045799999999
191,440881629.000000000000000, ,secondary, ,yes,no,no,冼村路,no, , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù, , , , , , , , , , , , , , ,113.322454300000000,113.322445400000010,23.122043099999999,23.121566800000000
192,1069604907.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,link, , , , , , , , , , , , , , , ,113.322423000000000,113.322454300000000,23.122045799999999,23.122043099999999
193,299795205.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320836600000010,113.318437399999990,23.123580100000002,23.123887700000001
194,299795215.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317546900000000,113.320830800000000,23.124115799999998,23.124018000000000
195,299795197.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318363500000000,113.319992300000000,23.124529400000000,23.124639400000000
196,550008867.000000000000000, ,secondary, ,yes, , ,珠江东路, , , , , , , , , ,Zhujiang East Road,珠江东路, , , , , , , , , , , , , , , , , ,113.320565800000000,113.320390800000000,23.121884800000000,23.126387399999999
197,299795195.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319194100000000,113.318945799999990,23.128343800000000,23.122112999999999
198,299795193.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319388600000000,113.319434300000000,23.128341899999999,23.122109200000001
199,299795164.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.318941300000010,113.319161500000010,23.125742800000001,23.125814999999999
200,547062354.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318394900000000,113.318670999999990,23.126134799999999,23.126214300000001
201,299795136.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318822299999990,113.318674200000000,23.126149900000001,23.126232800000000
202,299795176.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319007700000000,113.318874699999990,23.126101999999999,23.126138099999999
203,299795160.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.318874699999990,113.318822299999990,23.126138099999999,23.126149900000001
204,299795152.000000000000000,1,footway, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319077800000000,113.319007700000000,23.126079000000001,23.126101999999999
205,248407681.000000000000000,-1,secondary_link,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320345000000000,113.318156300000000,23.125793500000000,23.125976099999999
206,299795167.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319310599999990,113.319077800000000,23.126015299999999,23.126079000000001
207,228124193.000000000000000,-1,secondary,yes,yes, , ,金穗路隧道, , , , , , , , , ,Jinsuilu Tunnel,金穗路隧道, , , , , , , , , , , , , , , , , ,113.317855400000000,113.320662700000000,23.126107200000000,23.125871000000000
